soc_code,vector_type,vector_json
11-1011.00,riasec,"{""ria_A"":0.3085714285714286,""ria_C"":0.71,""ria_E"":0.9942857142857143,""ria_I"":0.43571428571428567,""ria_R"":0.18,""ria_S"":0.5057142857142857}"
11-1011.03,riasec,"{""ria_A"":0.35428571428571426,""ria_C"":0.6414285714285715,""ria_E"":0.9542857142857143,""ria_I"":0.6828571428571429,""ria_R"":0.2914285714285714,""ria_S"":0.5071428571428571}"
11-1021.00,riasec,"{""ria_A"":0.1842857142857143,""ria_C"":0.7628571428571428,""ria_E"":1,""ria_I"":0.3385714285714286,""ria_R"":0.31428571428571433,""ria_S"":0.4828571428571428}"
11-1031.00,riasec,"{""ria_A"":0.38571428571428573,""ria_C"":0.5171428571428571,""ria_E"":0.7885714285714285,""ria_I"":0.4785714285714286,""ria_R"":0.22,""ria_S"":0.5271428571428571}"
11-2011.00,riasec,"{""ria_A"":0.5528571428571428,""ria_C"":0.6328571428571428,""ria_E"":1,""ria_I"":0.2414285714285714,""ria_R"":0.14285714285714285,""ria_S"":0.44857142857142857}"
11-2021.00,riasec,"{""ria_A"":0.35000000000000003,""ria_C"":0.6714285714285715,""ria_E"":1,""ria_I"":0.41428571428571426,""ria_R"":0.14285714285714285,""ria_S"":0.40285714285714286}"
11-2022.00,riasec,"{""ria_A"":0.1942857142857143,""ria_C"":0.79,""ria_E"":1,""ria_I"":0.23857142857142857,""ria_R"":0.21285714285714286,""ria_S"":0.48142857142857143}"
11-2032.00,riasec,"{""ria_A"":0.5242857142857142,""ria_C"":0.6271428571428571,""ria_E"":1,""ria_I"":0.33428571428571424,""ria_R"":0.14285714285714285,""ria_S"":0.5971428571428571}"
11-2033.00,riasec,"{""ria_A"":0.37285714285714283,""ria_C"":0.6885714285714286,""ria_E"":1,""ria_I"":0.3442857142857143,""ria_R"":0.14285714285714285,""ria_S"":0.5371428571428571}"
11-3012.00,riasec,"{""ria_A"":0.15857142857142859,""ria_C"":0.8957142857142857,""ria_E"":0.9242857142857143,""ria_I"":0.3028571428571429,""ria_R"":0.20285714285714285,""ria_S"":0.5342857142857144}"
11-3013.00,riasec,"{""ria_A"":0.23,""ria_C"":0.7642857142857142,""ria_E"":0.7642857142857142,""ria_I"":0.37142857142857144,""ria_R"":0.5928571428571429,""ria_S"":0.5114285714285715}"
11-3013.01,riasec,"{""ria_A"":0.18571428571428572,""ria_C"":0.7757142857142857,""ria_E"":0.8042857142857143,""ria_I"":0.5271428571428571,""ria_R"":0.4842857142857143,""ria_S"":0.39285714285714285}"
11-3021.00,riasec,"{""ria_A"":0.21,""ria_C"":0.8485714285714286,""ria_E"":0.7271428571428571,""ria_I"":0.6414285714285715,""ria_R"":0.3828571428571429,""ria_S"":0.33571428571428574}"
11-3031.00,riasec,"{""ria_A"":0.22714285714285715,""ria_C"":0.7942857142857143,""ria_E"":1,""ria_I"":0.3514285714285714,""ria_R"":0.1942857142857143,""ria_S"":0.4342857142857143}"
11-3031.01,riasec,"{""ria_A"":0.16714285714285712,""ria_C"":0.92,""ria_E"":0.8785714285714287,""ria_I"":0.31428571428571433,""ria_R"":0.14285714285714285,""ria_S"":0.3828571428571429}"
11-3031.03,riasec,"{""ria_A"":0.2357142857142857,""ria_C"":0.7442857142857143,""ria_E"":0.9928571428571429,""ria_I"":0.5385714285714286,""ria_R"":0.21142857142857144,""ria_S"":0.3842857142857143}"
11-3051.00,riasec,"{""ria_A"":0.19999999999999998,""ria_C"":0.7442857142857143,""ria_E"":0.8614285714285714,""ria_I"":0.41714285714285715,""ria_R"":0.5714285714285714,""ria_S"":0.2642857142857143}"
11-3051.01,riasec,"{""ria_A"":0.18285714285714286,""ria_C"":0.7742857142857142,""ria_E"":0.7271428571428571,""ria_I"":0.5885714285714286,""ria_R"":0.5114285714285715,""ria_S"":0.2957142857142857}"
11-3051.02,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.6885714285714286,""ria_E"":0.6542857142857142,""ria_I"":0.4785714285714286,""ria_R"":0.7642857142857142,""ria_S"":0.2957142857142857}"
11-3051.03,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.7228571428571428,""ria_E"":0.7728571428571429,""ria_I"":0.5342857142857144,""ria_R"":0.6557142857142857,""ria_S"":0.26142857142857145}"
11-3051.04,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.7628571428571428,""ria_E"":0.6942857142857143,""ria_I"":0.4557142857142857,""ria_R"":0.7314285714285714,""ria_S"":0.24571428571428572}"
11-3051.06,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.7171428571428571,""ria_E"":0.6528571428571429,""ria_I"":0.52,""ria_R"":0.7671428571428571,""ria_S"":0.26142857142857145}"
11-3061.00,riasec,"{""ria_A"":0.17142857142857143,""ria_C"":0.8542857142857143,""ria_E"":1,""ria_I"":0.25285714285714284,""ria_R"":0.35571428571428576,""ria_S"":0.38571428571428573}"
11-3071.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.8200000000000001,""ria_E"":0.8557142857142858,""ria_I"":0.37714285714285717,""ria_R"":0.5142857142857143,""ria_S"":0.34142857142857147}"
11-3071.04,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.75,""ria_E"":0.8914285714285715,""ria_I"":0.3514285714285714,""ria_R"":0.4842857142857143,""ria_S"":0.2914285714285714}"
11-3111.00,riasec,"{""ria_A"":0.20142857142857143,""ria_C"":0.8085714285714286,""ria_E"":1,""ria_I"":0.31142857142857144,""ria_R"":0.14285714285714285,""ria_S"":0.5442857142857143}"
11-3121.00,riasec,"{""ria_A"":0.21428571428571427,""ria_C"":0.7914285714285715,""ria_E"":1,""ria_I"":0.33,""ria_R"":0.18,""ria_S"":0.5542857142857143}"
11-3131.00,riasec,"{""ria_A"":0.3671428571428571,""ria_C"":0.5771428571428572,""ria_E"":0.9071428571428571,""ria_I"":0.4342857142857143,""ria_R"":0.2714285714285714,""ria_S"":0.7914285714285715}"
11-9013.00,riasec,"{""ria_A"":0.15142857142857144,""ria_C"":0.6471428571428571,""ria_E"":0.7885714285714285,""ria_I"":0.39142857142857146,""ria_R"":0.7371428571428572,""ria_S"":0.3757142857142857}"
11-9021.00,riasec,"{""ria_A"":0.24285714285714285,""ria_C"":0.6857142857142857,""ria_E"":0.8185714285714286,""ria_I"":0.4542857142857143,""ria_R"":0.6685714285714285,""ria_S"":0.33571428571428574}"
11-9031.00,riasec,"{""ria_A"":0.39714285714285713,""ria_C"":0.6471428571428571,""ria_E"":0.6928571428571428,""ria_I"":0.41428571428571426,""ria_R"":0.17142857142857143,""ria_S"":0.9228571428571428}"
11-9032.00,riasec,"{""ria_A"":0.4057142857142857,""ria_C"":0.6685714285714285,""ria_E"":0.7628571428571428,""ria_I"":0.43714285714285717,""ria_R"":0.18714285714285714,""ria_S"":0.8171428571428571}"
11-9033.00,riasec,"{""ria_A"":0.4014285714285714,""ria_C"":0.7014285714285714,""ria_E"":0.7571428571428571,""ria_I"":0.5471428571428572,""ria_R"":0.14285714285714285,""ria_S"":0.8057142857142857}"
11-9041.00,riasec,"{""ria_A"":0.37714285714285717,""ria_C"":0.6328571428571428,""ria_E"":0.9142857142857144,""ria_I"":0.6514285714285714,""ria_R"":0.42714285714285716,""ria_S"":0.42142857142857143}"
11-9041.01,riasec,"{""ria_A"":0.30142857142857143,""ria_C"":0.5014285714285714,""ria_E"":0.6714285714285715,""ria_I"":0.8342857142857143,""ria_R"":0.5942857142857143,""ria_S"":0.3}"
11-9051.00,riasec,"{""ria_A"":0.23285714285714285,""ria_C"":0.7228571428571428,""ria_E"":0.8528571428571429,""ria_I"":0.27999999999999997,""ria_R"":0.5942857142857143,""ria_S"":0.5042857142857142}"
11-9071.00,riasec,"{""ria_A"":0.15571428571428572,""ria_C"":0.78,""ria_E"":0.9628571428571429,""ria_I"":0.19285714285714287,""ria_R"":0.39999999999999997,""ria_S"":0.40857142857142853}"
